MF,Fraction,mz,Retention_time,Cell_9312_A,Cell_9312_B,Cell_9312_C,Cell_9313_A,Cell_9313_B,Cell_9313_C,Vesicle_9312_1,Vesicle_9312_2,Vesicle_9312_3,Vesicle_9313_2,Vesicle_9313_1,Vesicle_9313_3
47_CyanoAq,CyanoAq,120.08111,1.139,0.005527791,0.004738426,0.003401319,0.014898401,0.015739238,0.001140005,NA,NA,NA,NA,NA,NA
54_CyanoAq,CyanoAq,122.56873,1.281,4.23E-05,6.31E-05,9.58E-05,4.44E-05,NA,NA,NA,NA,NA,NA,NA,NA
65_CyanoAq,CyanoAq,129.56325,1.076,2.14E-05,1.86E-05,1.25E-05,4.42E-05,5.57E-05,1.99E-05,NA,NA,NA,NA,NA,NA
86_CyanoAq,CyanoAq,134.54346,1.116,4.27E-05,4.73E-05,6.89E-05,7.88E-04,4.81E-04,3.62E-05,NA,NA,NA,NA,NA,NA
91_CyanoAq,CyanoAq,136.06192,1.053,0.005167843,0.005755261,0.004148879,0.031179392,0.026826431,0.002248234,NA,NA,NA,NA,NA,NA
94_CyanoAq,CyanoAq,138.07761,1.162,4.25E-04,NA,4.03E-04,0.00514355,0.003650732,1.78E-04,NA,NA,NA,NA,NA,NA
115_CyanoAq,CyanoAq,143.54869,1.117,1.83E-05,2.45E-05,2.68E-05,3.47E-04,2.78E-04,1.52E-05,NA,NA,NA,NA,NA,NA
145_CyanoAq,CyanoAq,151.53735,1.117,1.29E-05,1.77E-05,2.45E-05,2.92E-04,1.55E-04,9.21E-06,NA,NA,NA,NA,NA,NA
146_CyanoAq,CyanoAq,151.53748,1.217,1.86E-05,3.24E-05,2.85E-05,3.47E-04,2.32E-04,1.97E-05,NA,NA,NA,NA,NA,NA
151_CyanoAq,CyanoAq,154.07245,1.233,7.27E-04,7.21E-04,6.97E-04,0.007626856,NA,4.14E-04,NA,NA,NA,NA,NA,NA
166_CyanoAq,CyanoAq,159.52361,1.213,2.87E-06,1.70E-06,3.53E-06,6.49E-05,4.63E-05,2.22E-06,NA,NA,NA,NA,NA,NA
183_CyanoAq,CyanoAq,163.56438,3.165,1.22E-05,9.69E-06,2.87E-05,4.74E-05,NA,NA,NA,NA,NA,NA,NA,NA
189_CyanoAq,CyanoAq,164.05673,1.117,0.019161093,0.01694966,0.023183349,0.20144396,0.131633008,0.01253171,NA,NA,NA,NA,NA,NA
210_CyanoAq,CyanoAq,166.08636,1.137,0.013388443,0.00977353,0.007666865,0.029708774,0.040648255,0.002921999,NA,NA,NA,NA,NA,NA
222_CyanoAq,CyanoAq,171.55307,3.165,7.09E-05,5.37E-05,1.16E-04,3.15E-04,7.92E-05,5.43E-06,NA,NA,NA,NA,NA,NA
232_CyanoAq,CyanoAq,174.14905,1.312,NA,NA,NA,NA,NA,NA,0.011321647,0.012253342,0.055518495,0.005412274,NA,0.003496833
255_CyanoAq,CyanoAq,180.05182,1.218,0.001980532,0.002027259,0.001994615,0.017633469,0.012022476,0.001360283,NA,NA,NA,NA,NA,NA
269_CyanoAq,CyanoAq,182.06729,1.172,5.30E-04,4.55E-04,5.51E-04,0.179822416,0.003620252,0.009810554,NA,NA,NA,NA,NA,NA
270_CyanoAq,CyanoAq,182.06746,1.427,3.74E-04,3.03E-04,2.48E-04,0.002231705,0.002298317,1.32E-04,NA,NA,NA,NA,NA,NA
287_CyanoAq,CyanoAq,186.0388,1.117,0.001546866,0.001426525,0.001934699,0.017335398,0.012200242,9.80E-04,NA,NA,NA,NA,NA,NA
296_CyanoAq,CyanoAq,188.03781,1.24,5.42E-04,4.04E-04,4.31E-04,1.23E-04,8.43E-04,4.15E-05,NA,NA,NA,NA,NA,NA
331_CyanoAq,CyanoAq,194.0675,1.645,2.39E-04,1.71E-04,3.77E-04,0.004041812,8.63E-04,1.95E-04,NA,NA,NA,NA,NA,NA
332_CyanoAq,CyanoAq,194.06755,1.566,1.75E-04,1.77E-04,2.40E-04,0.001380658,8.81E-04,1.57E-04,NA,NA,NA,NA,NA,NA
343_CyanoAq,CyanoAq,196.08313,1.564,0.001169584,0.001080004,0.001702769,0.013873297,0.006964296,7.33E-04,NA,NA,NA,NA,NA,NA
385_CyanoAq,CyanoAq,204.04941,1.215,6.93E-04,7.20E-04,7.18E-04,0.006608869,0.004889884,4.48E-04,NA,NA,NA,NA,NA,NA
386_CyanoAq,CyanoAq,204.04945,1.425,6.29E-05,3.68E-05,3.10E-05,2.27E-04,3.31E-04,1.61E-05,NA,NA,NA,NA,NA,NA
397_CyanoAq,CyanoAq,205.09731,1.939,0.005941939,0.004455131,0.003036909,0.014759863,0.01701758,0.001425783,NA,NA,NA,NA,NA,NA
413_CyanoAq,CyanoAq,207.56351,1.464,2.67E-06,5.04E-06,1.06E-05,2.42E-04,1.37E-04,7.06E-06,NA,NA,NA,NA,NA,NA
462_CyanoAq,CyanoAq,217.19524,11.34,2.06E-05,1.09E-05,2.53E-05,NA,NA,NA,0.003656566,NA,NA,NA,NA,NA
463_CyanoAq,CyanoAq,217.19533,10.678,NA,NA,NA,NA,NA,NA,0.004088549,NA,NA,5.53E-04,NA,NA
464_CyanoAq,CyanoAq,218.02849,1.219,2.04E-05,2.34E-05,1.91E-05,1.63E-04,NA,1.15E-05,NA,NA,NA,NA,NA,NA
465_CyanoAq,CyanoAq,218.06494,1.565,3.11E-05,NA,4.66E-05,4.28E-04,1.89E-04,NA,NA,NA,NA,NA,NA,NA
479_CyanoAq,CyanoAq,220.08305,3.168,2.01E-04,1.61E-04,3.00E-04,9.14E-04,2.47E-04,NA,NA,NA,NA,NA,NA,NA
480_CyanoAq,CyanoAq,220.08307,2.997,3.01E-04,2.72E-04,4.69E-04,0.002166969,3.29E-04,2.83E-05,NA,NA,NA,NA,NA,NA
481_CyanoAq,CyanoAq,220.11809,1.139,3.80E-05,6.03E-05,6.91E-05,5.57E-04,4.50E-04,2.69E-05,NA,NA,NA,NA,NA,NA
492_CyanoAq,CyanoAq,221.12852,5.02,6.43E-04,3.49E-04,7.92E-04,7.06E-05,2.42E-04,6.18E-05,0.023079451,NA,0.028236774,NA,NA,NA
496_CyanoAq,CyanoAq,221.55408,1.214,NA,1.24E-05,1.23E-05,5.72E-04,1.76E-04,5.43E-06,NA,NA,NA,NA,NA,NA
538_CyanoAq,CyanoAq,229.01035,4.404,3.34E-05,5.22E-05,3.10E-05,5.23E-05,NA,5.09E-06,NA,NA,NA,NA,NA,NA
548_CyanoAq,CyanoAq,230.66016,1.266,7.13E-05,5.63E-05,6.52E-05,8.03E-06,NA,NA,NA,NA,NA,NA,NA,NA
555_CyanoAq,CyanoAq,231.17055,1.582,1.69E-04,1.21E-04,2.51E-04,NA,NA,3.66E-06,NA,NA,NA,NA,NA,NA
558_CyanoAq,CyanoAq,232.03185,1.117,8.94E-06,1.36E-05,1.93E-05,2.23E-04,1.33E-04,8.68E-06,NA,NA,NA,NA,NA,NA
564_CyanoAq,CyanoAq,232.99615,4.977,7.20E-06,2.04E-05,3.17E-06,1.37E-05,8.41E-05,2.87E-05,NA,NA,NA,NA,NA,NA
588_CyanoAq,CyanoAq,235.06607,1.601,2.00E-04,2.14E-04,4.00E-04,6.00E-04,2.68E-04,3.02E-05,NA,NA,NA,NA,NA,NA
596_CyanoAq,CyanoAq,236.03947,1.216,1.65E-05,1.57E-05,2.19E-05,1.48E-04,1.12E-04,1.10E-05,NA,NA,NA,NA,NA,NA
610_CyanoAq,CyanoAq,238.09364,2.446,2.44E-05,2.84E-05,9.54E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
611_CyanoAq,CyanoAq,238.0938,3.165,3.18E-05,2.73E-05,5.75E-05,1.73E-04,NA,NA,NA,NA,NA,NA,NA,NA
637_CyanoAq,CyanoAq,242.06488,3.164,2.76E-05,2.41E-05,4.78E-05,1.41E-04,3.41E-05,NA,NA,NA,NA,NA,NA,NA
638_CyanoAq,CyanoAq,242.06493,2.998,2.43E-05,2.17E-05,4.14E-05,2.14E-04,NA,NA,NA,NA,NA,NA,NA,NA
640_CyanoAq,CyanoAq,242.10028,1.14,4.67E-06,1.61E-05,1.87E-05,2.19E-04,1.63E-04,8.19E-06,NA,NA,NA,NA,NA,NA
649_CyanoAq,CyanoAq,243.04912,2.444,4.42E-05,6.40E-05,2.09E-04,3.44E-05,1.62E-05,4.73E-06,NA,NA,NA,NA,NA,NA
661_CyanoAq,CyanoAq,243.99754,1.115,2.41E-05,2.75E-05,3.93E-05,2.88E-04,1.93E-04,2.41E-05,NA,NA,NA,NA,NA,NA
663_CyanoAq,CyanoAq,244.08072,3.166,4.87E-04,3.67E-04,7.76E-04,0.002170179,6.28E-04,3.41E-05,NA,NA,NA,NA,NA,NA
669_CyanoAq,CyanoAq,245.06473,2.314,8.50E-05,7.29E-05,2.25E-04,8.60E-05,NA,NA,NA,NA,NA,NA,NA,NA
681_CyanoAq,CyanoAq,246.04713,1.218,7.37E-05,7.54E-05,6.85E-05,5.25E-04,4.30E-04,4.72E-05,NA,NA,NA,NA,NA,NA
688_CyanoAq,CyanoAq,246.65019,3.52,8.00E-06,1.45E-05,5.34E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
714_CyanoAq,CyanoAq,251.54803,4.55,7.88E-06,3.34E-06,NA,5.95E-05,6.07E-05,1.94E-05,NA,NA,NA,NA,NA,NA
717_CyanoAq,CyanoAq,252.10931,1.194,1.95E-04,2.49E-04,8.60E-05,9.59E-04,7.34E-04,1.19E-04,NA,NA,NA,NA,NA,NA
720_CyanoAq,CyanoAq,252.66443,4.562,3.96E-05,3.51E-05,6.40E-05,9.07E-06,NA,NA,NA,NA,NA,NA,NA,NA
721_CyanoAq,CyanoAq,252.7471,2.403,7.52E-05,7.43E-05,6.78E-05,NA,6.71E-06,NA,NA,NA,NA,NA,NA,NA
735_CyanoAq,CyanoAq,254.13181,1.978,5.94E-05,5.42E-05,1.07E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
745_CyanoAq,CyanoAq,256.10413,3.166,4.20E-05,2.50E-05,7.36E-05,1.62E-04,NA,NA,NA,NA,NA,NA,NA,NA
753_CyanoAq,CyanoAq,256.64746,5.21,1.15E-05,1.84E-05,1.27E-05,NA,NA,NA,0.006007647,5.06E-04,0.003928091,NA,NA,NA
756_CyanoAq,CyanoAq,256.82095,3.78,NA,NA,NA,NA,NA,1.87E-05,NA,NA,NA,NA,NA,NA
762_CyanoAq,CyanoAq,257.10349,5.051,1.59E-05,1.62E-05,1.23E-05,1.08E-05,3.64E-05,9.56E-06,NA,NA,NA,NA,NA,NA
767_CyanoAq,CyanoAq,257.18628,1.08,1.92E-04,1.76E-04,1.38E-04,1.65E-04,4.20E-04,1.07E-04,NA,NA,NA,NA,NA,NA
772_CyanoAq,CyanoAq,258.02408,1.214,1.52E-05,1.85E-05,2.09E-05,1.70E-04,1.21E-04,1.41E-05,NA,NA,NA,NA,NA,NA
782_CyanoAq,CyanoAq,258.50104,1.082,2.91E-05,1.71E-05,2.08E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
803_CyanoAq,CyanoAq,261.14484,1.096,9.43E-05,7.84E-05,8.10E-05,2.31E-04,2.41E-04,2.00E-05,NA,NA,NA,NA,NA,NA
810_CyanoAq,CyanoAq,262.11884,2.824,1.28E-04,1.29E-04,8.70E-05,7.82E-04,5.36E-04,6.13E-05,NA,NA,NA,NA,NA,NA
814_CyanoAq,CyanoAq,263.0296,1.116,3.35E-05,3.54E-05,6.01E-05,5.03E-04,3.48E-04,2.78E-05,NA,NA,NA,NA,NA,NA
829_CyanoAq,CyanoAq,264.64474,5.139,1.57E-04,8.39E-05,1.52E-04,NA,NA,NA,0.002751596,2.24E-04,0.004110579,NA,NA,NA
841_CyanoAq,CyanoAq,267.04672,2.313,1.38E-05,1.13E-05,3.72E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
845_CyanoAq,CyanoAq,267.12308,8.776,NA,NA,NA,NA,NA,NA,0.010482392,NA,0.007196532,2.83E-04,4.65E-05,5.05E-05
851_CyanoAq,CyanoAq,268.05283,1.214,2.05E-05,2.44E-05,2.55E-05,3.60E-04,2.23E-04,1.43E-05,NA,NA,NA,NA,NA,NA
852_CyanoAq,CyanoAq,268.10422,1.086,2.26E-04,0.009883201,1.14E-04,3.63E-05,2.38E-04,2.96E-05,NA,NA,NA,NA,NA,NA
856_CyanoAq,CyanoAq,268.54642,3.179,3.89E-06,1.26E-05,3.66E-06,9.41E-05,1.85E-04,NA,NA,NA,NA,NA,NA,NA
857_CyanoAq,CyanoAq,269.07071,4.974,1.23E-05,7.41E-06,6.35E-06,8.54E-06,2.29E-05,5.69E-06,NA,NA,NA,NA,NA,NA
884_CyanoAq,CyanoAq,271.59537,1.133,4.82E-05,3.84E-05,2.85E-05,1.99E-04,3.10E-04,3.34E-06,NA,NA,NA,NA,NA,NA
885_CyanoAq,CyanoAq,271.65253,5.249,NA,NA,NA,1.89E-04,2.47E-04,3.35E-05,NA,NA,NA,NA,NA,NA
886_CyanoAq,CyanoAq,272.03668,1.216,2.79E-05,2.94E-05,3.22E-05,2.61E-04,2.12E-04,1.88E-05,NA,NA,NA,NA,NA,NA
898_CyanoAq,CyanoAq,273.05823,1.116,3.52E-05,2.84E-05,4.85E-05,4.82E-04,2.73E-04,2.21E-05,NA,NA,NA,NA,NA,NA
899_CyanoAq,CyanoAq,273.09464,1.055,0.001393417,0.001243427,0.001484562,NA,NA,NA,NA,NA,NA,NA,NA,NA
909_CyanoAq,CyanoAq,274.1651,3.091,NA,NA,NA,NA,NA,NA,0.003272,0.005676065,0.028111048,0.003693954,NA,0.003034373
924_CyanoAq,CyanoAq,276.10812,1.117,NA,NA,NA,7.60E-04,0.001105024,6.37E-05,NA,NA,NA,NA,NA,NA
945_CyanoAq,CyanoAq,279.18674,2.387,6.26E-05,5.48E-05,1.18E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
949_CyanoAq,CyanoAq,279.58377,1.131,1.93E-05,3.04E-05,1.14E-05,5.41E-05,1.90E-04,2.06E-06,NA,NA,NA,NA,NA,NA
951_CyanoAq,CyanoAq,279.96161,1.116,1.29E-05,1.00E-05,2.15E-05,1.58E-04,1.34E-04,1.13E-05,NA,NA,NA,NA,NA,NA
954_CyanoAq,CyanoAq,280.19479,4.267,3.55E-05,4.62E-05,5.13E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
956_CyanoAq,CyanoAq,281.04007,1.215,4.80E-05,5.43E-05,6.55E-05,4.88E-04,3.72E-04,3.54E-05,NA,NA,NA,NA,NA,NA
961_CyanoAq,CyanoAq,281.14999,1.283,4.26E-05,5.22E-05,3.56E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
969_CyanoAq,CyanoAq,282.66071,4.257,1.11E-05,1.07E-05,2.98E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
974_CyanoAq,CyanoAq,283.11798,8.279,NA,NA,NA,NA,NA,NA,0.03441102,4.88E-04,0.015501586,6.17E-04,1.46E-04,1.62E-04
982_CyanoAq,CyanoAq,283.82416,1.403,4.84E-05,7.34E-05,6.66E-05,5.74E-05,9.84E-05,9.26E-06,NA,NA,NA,NA,NA,NA
983_CyanoAq,CyanoAq,284.09912,1.363,1.08E-04,4.88E-05,5.93E-05,3.50E-05,9.98E-05,1.95E-05,NA,NA,NA,NA,NA,NA
984_CyanoAq,CyanoAq,284.09924,1.116,9.98E-04,0.001124628,4.36E-04,7.48E-05,2.72E-04,1.92E-05,NA,NA,NA,NA,NA,NA
1000_CyanoAq,CyanoAq,285.24252,11.753,0.001795728,0.001170746,0.001649912,0.002111462,8.96E-04,1.06E-05,0.085758706,0.055900081,0.296804247,0.087135107,0.014067888,0.006411586
1001_CyanoAq,CyanoAq,285.24258,10.672,2.77E-04,2.05E-04,3.06E-04,3.37E-04,5.66E-05,NA,0.024505294,0.013772129,0.017607796,0.019875645,0.003456628,0.002400975
1002_CyanoAq,CyanoAq,285.24265,11.521,0.001078959,7.26E-04,0.001158564,0.002886562,0.001530562,1.79E-05,0.284194471,0.006901779,0.040512366,0.049260563,0.008619968,0.004278
1003_CyanoAq,CyanoAq,285.24265,11.377,8.49E-04,9.10E-04,0.001770093,1.25E-04,1.03E-04,NA,0.25888468,0.009865906,0.02903746,0.007439661,0.001108441,7.02E-04
1004_CyanoAq,CyanoAq,285.5882,3.794,5.00E-05,4.70E-05,3.51E-05,4.71E-06,6.62E-05,1.21E-05,NA,NA,NA,NA,NA,NA
1005_CyanoAq,CyanoAq,285.5882,3.654,6.76E-05,5.38E-05,4.25E-05,5.43E-06,8.95E-05,1.11E-05,NA,NA,NA,NA,NA,NA
1008_CyanoAq,CyanoAq,286.16922,5.025,6.49E-05,9.01E-05,3.02E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
1025_CyanoAq,CyanoAq,289.03586,1.116,2.70E-05,2.91E-05,3.96E-05,4.04E-04,2.43E-04,1.96E-05,NA,NA,NA,NA,NA,NA
1035_CyanoAq,CyanoAq,289.99051,1.111,6.03E-06,3.56E-06,1.20E-05,8.63E-05,5.85E-05,4.08E-06,NA,NA,NA,NA,NA,NA
1039_CyanoAq,CyanoAq,290.06348,2.102,3.90E-05,4.21E-05,5.47E-05,NA,2.25E-05,NA,NA,NA,NA,NA,NA,NA
1052_CyanoAq,CyanoAq,291.18039,6.229,4.39E-06,1.58E-05,3.92E-05,5.46E-05,7.32E-05,3.10E-05,NA,NA,NA,NA,NA,NA
1071_CyanoAq,CyanoAq,293.68741,3.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.81E-04,0.00186566,2.44E-04
1079_CyanoAq,CyanoAq,294.68958,1.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76E-04,7.07E-04,7.98E-05
1084_CyanoAq,CyanoAq,295.07861,1.707,1.72E-04,2.44E-04,4.02E-05,NA,1.21E-05,NA,NA,NA,NA,NA,NA,NA
1098_CyanoAq,CyanoAq,295.76108,2.835,NA,NA,NA,3.28E-05,6.24E-04,2.78E-05,NA,NA,NA,NA,NA,NA
1120_CyanoAq,CyanoAq,298.09003,1.094,NA,NA,NA,9.22E-04,0.001094559,6.44E-05,NA,NA,NA,NA,NA,NA
1121_CyanoAq,CyanoAq,298.09702,2.155,0.003619353,0.002064831,0.002069128,0.017347471,0.01830234,0.00142526,NA,NA,NA,NA,NA,NA
1122_CyanoAq,CyanoAq,298.11481,1.446,3.07E-05,1.62E-05,1.69E-05,2.51E-04,2.86E-04,2.17E-05,NA,NA,NA,NA,NA,NA
1123_CyanoAq,CyanoAq,298.11505,1.554,7.63E-05,6.03E-05,5.87E-05,1.06E-04,1.70E-04,NA,NA,NA,NA,NA,NA,NA
1138_CyanoAq,CyanoAq,300.0939,3.165,1.12E-05,6.55E-06,1.95E-05,6.09E-05,6.18E-06,NA,NA,NA,NA,NA,NA,NA
1146_CyanoAq,CyanoAq,300.69519,1.494,1.15E-05,1.44E-05,3.89E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
1159_CyanoAq,CyanoAq,302.01694,1.214,1.21E-05,1.32E-05,1.42E-05,1.23E-04,8.23E-05,9.52E-06,NA,NA,NA,NA,NA,NA
1160_CyanoAq,CyanoAq,302.10242,4.743,1.80E-05,1.53E-05,1.73E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
1162_CyanoAq,CyanoAq,302.15018,3.632,5.16E-05,3.57E-05,3.59E-05,4.23E-04,4.43E-04,3.80E-05,NA,NA,NA,NA,NA,NA
1164_CyanoAq,CyanoAq,302.17664,1.065,2.10E-05,1.04E-05,3.65E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
1170_CyanoAq,CyanoAq,302.68698,1.943,1.72E-05,1.74E-05,6.19E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
1177_CyanoAq,CyanoAq,303.25308,11.751,5.76E-05,3.64E-05,3.54E-05,6.19E-05,2.38E-05,NA,0.00173349,8.94E-04,0.009462634,0.003242269,4.30E-04,2.13E-04
1178_CyanoAq,CyanoAq,303.25317,11.52,3.81E-05,2.10E-05,2.87E-05,1.15E-04,6.25E-05,NA,0.010907098,NA,0.001524355,0.002229848,3.71E-04,1.71E-04
1179_CyanoAq,CyanoAq,303.2532,10.679,1.36E-05,NA,6.76E-06,2.15E-05,NA,NA,0.012624,6.86E-04,0.001261505,0.001655173,2.60E-04,1.87E-04
1180_CyanoAq,CyanoAq,303.25323,11.369,7.70E-05,4.75E-05,6.76E-05,NA,NA,NA,0.016264588,5.29E-04,0.001455269,3.83E-04,NA,NA
1182_CyanoAq,CyanoAq,304.13135,11.901,1.06E-04,6.46E-05,1.35E-04,9.89E-05,6.79E-05,9.50E-06,NA,NA,NA,NA,NA,NA
1198_CyanoAq,CyanoAq,305.98816,1.116,2.33E-05,2.42E-05,3.28E-05,2.42E-04,1.87E-04,1.59E-05,NA,NA,NA,NA,NA,NA
1201_CyanoAq,CyanoAq,306.05124,3.164,1.31E-05,1.44E-05,3.00E-05,7.87E-05,NA,NA,NA,NA,NA,NA,NA,NA
1203_CyanoAq,CyanoAq,306.08121,1.115,1.87E-04,2.03E-04,7.37E-05,4.02E-06,4.08E-05,NA,NA,NA,NA,NA,NA,NA
1204_CyanoAq,CyanoAq,306.09464,1.376,5.53E-05,5.08E-05,6.11E-05,1.51E-05,4.01E-05,NA,NA,NA,NA,NA,NA,NA
1214_CyanoAq,CyanoAq,307.1655,5.396,8.66E-06,1.05E-05,8.23E-06,1.22E-04,5.36E-05,5.74E-06,0.00291749,NA,0.001837392,NA,NA,NA
1226_CyanoAq,CyanoAq,308.49979,1.679,1.19E-05,2.11E-05,1.06E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
1228_CyanoAq,CyanoAq,309.05875,1.059,8.96E-06,8.38E-06,1.23E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
1232_CyanoAq,CyanoAq,309.24268,11.351,1.84E-04,2.12E-04,3.72E-04,2.02E-05,NA,NA,0.070881647,0.001406065,0.008228441,5.24E-04,NA,NA
1233_CyanoAq,CyanoAq,309.24268,11.686,6.66E-05,5.76E-05,7.33E-05,2.15E-05,NA,NA,0.031833529,NA,0.005552769,8.72E-04,1.03E-04,NA
1234_CyanoAq,CyanoAq,309.24268,10.679,NA,NA,NA,NA,NA,NA,0.027517333,0.001795499,0.002834677,0.003382147,5.82E-04,4.19E-04
1235_CyanoAq,CyanoAq,309.24274,11.061,NA,NA,NA,4.33E-05,NA,NA,0.023231529,9.18E-04,0.001866425,0.005405437,6.74E-04,5.23E-04
1244_CyanoAq,CyanoAq,311.12405,1.383,1.32E-04,1.45E-04,1.29E-04,1.07E-04,1.51E-04,6.78E-06,NA,NA,NA,NA,NA,NA
1249_CyanoAq,CyanoAq,311.25824,11.561,5.33E-04,3.63E-04,5.76E-04,0.001559903,1.76E-04,7.35E-06,NA,NA,NA,NA,NA,NA
1250_CyanoAq,CyanoAq,311.25842,11.848,1.78E-04,1.51E-04,1.75E-04,0.001042382,4.23E-04,2.14E-06,0.152879529,0.001647008,0.01766836,0.022660604,0.004228864,0.001425037
1251_CyanoAq,CyanoAq,311.68185,2.462,6.28E-05,5.64E-05,1.32E-04,8.66E-06,NA,NA,NA,NA,NA,NA,NA,NA
1265_CyanoAq,CyanoAq,313.27383,11.74,0.001279799,0.001296559,0.001317493,0.001391159,6.35E-04,7.28E-06,1.639397176,0.049020243,0.252704005,0.058681102,0.009948276,0.004501855
1266_CyanoAq,CyanoAq,313.27399,11.057,5.90E-05,2.96E-05,6.22E-05,2.29E-04,7.08E-05,NA,0.115957804,0.006045283,0.009060215,0.029374315,0.003581896,0.002702781
1267_CyanoAq,CyanoAq,313.27402,11.844,4.12E-04,2.39E-04,0.001317493,0.001888128,7.66E-04,8.46E-06,0.36367149,0.048686712,0.252704005,0.049497609,0.008575556,0.003041438
1268_CyanoAq,CyanoAq,314.09195,2.156,3.05E-04,2.14E-04,1.86E-04,7.78E-04,0.001389435,1.56E-04,NA,NA,NA,NA,NA,NA
1269_CyanoAq,CyanoAq,314.09207,1.175,1.31E-04,1.31E-04,1.10E-04,3.84E-04,1.24E-04,2.17E-05,NA,NA,NA,NA,NA,NA
1278_CyanoAq,CyanoAq,315.07599,4.974,6.30E-05,3.03E-05,2.76E-05,3.50E-05,7.86E-05,2.21E-05,NA,NA,NA,NA,NA,NA
1282_CyanoAq,CyanoAq,315.134,7.934,1.22E-05,1.05E-05,NA,1.19E-05,1.47E-05,NA,NA,NA,NA,NA,NA,NA
1284_CyanoAq,CyanoAq,315.16837,5.262,4.85E-05,2.87E-05,5.42E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
1290_CyanoAq,CyanoAq,316.0267,1.216,1.82E-05,2.32E-05,1.79E-05,1.23E-04,1.24E-04,1.39E-05,NA,NA,NA,NA,NA,NA
1305_CyanoAq,CyanoAq,316.68478,1.232,NA,NA,NA,1.88E-04,2.09E-04,8.24E-06,NA,NA,NA,NA,NA,NA
1317_CyanoAq,CyanoAq,318.18146,4.944,1.10E-05,1.11E-05,3.32E-06,4.40E-06,1.70E-05,NA,NA,NA,NA,NA,NA,NA
1323_CyanoAq,CyanoAq,319.08768,1.054,1.18E-04,1.04E-04,1.26E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
1333_CyanoAq,CyanoAq,320.12457,2.987,NA,8.93E-06,NA,5.91E-04,2.05E-04,4.27E-05,NA,NA,NA,NA,NA,NA
1335_CyanoAq,CyanoAq,320.23489,9.446,1.04E-05,1.15E-05,5.87E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
1347_CyanoAq,CyanoAq,322.19281,1.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001600614,0.003475344,7.08E-04
1349_CyanoAq,CyanoAq,322.70282,2.027,3.52E-05,4.08E-05,7.27E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
1358_CyanoAq,CyanoAq,323.69254,1.897,1.86E-05,1.78E-05,4.78E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
1360_CyanoAq,CyanoAq,323.99884,1.215,6.54E-05,6.20E-05,5.99E-05,3.81E-04,3.65E-04,4.11E-05,NA,NA,NA,NA,NA,NA
1386_CyanoAq,CyanoAq,327.10638,1.117,1.13E-05,1.42E-05,2.90E-05,0.001393744,3.29E-04,7.52E-06,NA,NA,NA,NA,NA,NA
1397_CyanoAq,CyanoAq,328.09778,5.234,1.05E-05,1.24E-05,1.32E-05,9.18E-05,4.13E-05,5.49E-06,NA,NA,NA,NA,NA,NA
1398_CyanoAq,CyanoAq,328.14218,9.55,5.15E-05,6.54E-05,1.20E-04,3.84E-04,2.19E-04,2.73E-05,NA,NA,NA,NA,NA,NA
1400_CyanoAq,CyanoAq,328.18198,5.35,1.08E-05,1.72E-05,3.85E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
1409_CyanoAq,CyanoAq,329.26898,11.522,3.54E-05,2.30E-05,4.30E-05,1.29E-04,6.44E-05,NA,0.010025608,NA,0.001372258,0.00224067,3.52E-04,2.16E-04
1410_CyanoAq,CyanoAq,329.26898,11.85,1.06E-05,8.91E-06,1.07E-05,6.70E-05,2.51E-05,NA,0.011702235,NA,9.13E-04,0.001670964,3.35E-04,9.43E-05
1412_CyanoAq,CyanoAq,329.69244,1.725,5.93E-05,6.87E-05,6.98E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
1418_CyanoAq,CyanoAq,330.30075,10.922,1.23E-04,2.85E-05,7.54E-05,1.70E-05,NA,NA,0.052047254,0.002187736,0.004761539,0.001220557,9.70E-04,5.10E-04
1419_CyanoAq,CyanoAq,330.71835,5.175,4.83E-06,2.50E-06,1.54E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
