MF,Fraction,mz,Retention_time,Cell_9312_A,Cell_9312_B,Cell_9312_C,Cell_9313_A,Cell_9313_B,Cell_9313_C,Vesicle_9312_1,Vesicle_9312_2,Vesicle_9312_3,Vesicle_9313_2,Vesicle_9313_1,Vesicle_9313_3
8550_CyanoOrg,CyanoOrg,623.25024,12.665,0.003957737,0.002584779,0.001952964,0.002187015,0.001999698,5.09E-05,0.147448392,0.017177412,0.042622769,0.008674452,0.04703444,0.008764744
8551_CyanoOrg,CyanoOrg,623.25049,10.557,NA,5.31E-06,1.01E-05,1.15E-04,7.09E-05,NA,NA,NA,NA,NA,NA,NA
8552_CyanoOrg,CyanoOrg,623.25079,11.325,1.17E-04,3.45E-05,2.55E-05,4.52E-05,3.31E-05,NA,NA,NA,NA,NA,NA,NA
8553_CyanoOrg,CyanoOrg,623.25385,12.191,NA,NA,NA,NA,NA,NA,0.011283333,0.00379938,0.006282392,0.001480208,5.76E-04,5.94E-04
8557_CyanoOrg,CyanoOrg,623.40723,13.493,1.04E-04,9.80E-05,9.49E-05,5.82E-04,5.93E-04,2.18E-04,0.047705373,0.016483181,0.013201102,0.011172269,0.014312036,0.009031478
8558_CyanoOrg,CyanoOrg,623.41528,11.539,2.79E-05,1.93E-05,1.44E-05,1.37E-04,8.24E-05,1.88E-05,0.015349137,0.007457251,0.003984758,0.002708563,0.001238708,0.001081296
8559_CyanoOrg,CyanoOrg,623.41534,11.611,1.97E-05,1.90E-05,1.40E-05,9.03E-05,7.23E-05,1.86E-05,0.014482833,0.004517767,0.004237164,0.003211718,0.001590352,0.001206579
8561_CyanoOrg,CyanoOrg,623.41565,10.559,5.97E-05,5.44E-05,4.68E-05,4.33E-04,2.41E-04,5.21E-05,0.042405451,0.013349569,0.009142204,0.00531002,0.002810732,0.002283895
8569_CyanoOrg,CyanoOrg,624.52032,13.743,NA,NA,NA,NA,NA,NA,6.52E-04,3.16E-04,NA,7.14E-04,1.62E-04,2.48E-04
8580_CyanoOrg,CyanoOrg,625.44617,12.011,3.65E-05,3.37E-05,2.34E-05,1.02E-04,9.46E-05,1.37E-05,0.032246118,0.018072965,0.006887769,0.004470792,0.00251776,0.001717633
8585_CyanoOrg,CyanoOrg,626.53583,14.082,NA,NA,NA,NA,NA,NA,0.00212298,0.001208976,NA,0.003243985,4.70E-04,7.37E-04
8588_CyanoOrg,CyanoOrg,627.25836,13.855,2.20E-04,7.90E-05,7.06E-05,3.64E-05,4.16E-05,NA,NA,NA,NA,NA,NA,NA
