Strain,Fraction,Shared_total_btwVandC,Shared_percent_btwVandC
9312,CyanoAq,106,16.93290735
9312,CyanoOrg,1031,54.20609884
9312,HILICNeg,0,0
9312,HILICPos,3,0.559701493
9313,CyanoAq,80,13.81692573
9313,CyanoOrg,1174,56.68759054
9313,HILICNeg,4,1.785714286
9313,HILICPos,5,0.822368421
