Samp.Type,Fraction,Shared_total_btwStrains,Shared_percent_btwStrains
Pellet,CyanoAq,258,37.06896551724138
Pellet,CyanoOrg,1273,75.54896142433233
Pellet,HILICNeg,173,67.31517509727627
Pellet,HILICPos,457,68.10730253353205
Vesicle,CyanoAq,122,38.730158730158735
Vesicle,CyanoOrg,1411,77.99889441680486
Vesicle,HILICNeg,6,60
Vesicle,HILICPos,10,71.42857142857143
